Sl. No.,"Name of 
Haor",Name of WMG & #,Name of XO,Demo#,N,D,M,S,Lat,E,D,M,S,Lon,Demo Area (Dec.),Date of Seedling,Transplanting,Harvesting,Seedling Age,Growth Duration (days),Total Cost(tk),Cultivation cost (tk/Ha),Production (kg/plot),Selling Price(tk),Yield (Kg/Ha),Total Sell Value(tk),Comparative Production(kg),Comparative Yield (Kg/Ha),Rice sold (tk/Ha),Net benefit (tk/Ha)
381,Chatal,Koluma#213,Sohel Rana,29.5,"24ø33'11.1""",24,33,11.1,24.55308333,"91ø29'44.6""",91,29,44.9,91.49591667,35,43432,43463,43570,31,138,7550,53303,820,15,5789.2,12300,630,4447.8,86838,33535
382,Chatal,Koluma#213,Sohel Rana,29.7,"24ø33'11.0""",24,33,11,24.55305556,"91ø29'45.3""",91,29,45.3,91.49825,35,43430,43467,43597,37,167,7350,51891,1050,13,7413,13650,1680,11860.8,96369,44478
498,Chatal,Motri#211,Nazmul,22.23,"24ø32'29.9""",24,32,29.9,24.54163889,"91ø24'53.7""",91,24,53.7,91.40297222,35,43437,43472,43579,35,142,8460,59727.6,980,13.46428571,6918.8,13195,352,2485.12,93156.7,33429.1
499,Chatal,Motri#211,Nazmul,225.2,"24ø32'56.2""",24,32,56.2,24.54894444,"91ø25'10.7""",91,258,10.7,95.30308333,35,43437,43476,43577,39,140,7735,54609.1,980,14.5,6918.8,14210,320,2259.2,100322.6,45713.5
500,Chatal,Motri#211,Nazmul,22.19,"24ø31'57.9""",24,32,57.9,24.54941667,"91ø25'11.1""",91,25,11.1,91.41838889,35,43435,43469,43574,34,139,7910,55844.6,910,14.11,6424.6,12840.1,400,2824,90651.106,34806.506
501,Chatal,Motri#211,Nazmul,22.16,"24ø32'34.5""",24,32,34.5,24.54291667,"91ø25'6.2""",91,25,6.2,91.41866667,35,43429,43487,43571,58,142,8325,58774.5,910,14.25,6424.6,12967.5,400,2824,91550.55,32776.05
502,Chatal,Motri#211,Nazmul,22.15,"24ø32'37.3""",24,32,37.3,24.54369444,"91ø25'7.2""",91,25,7.2,91.43069444,35,43433,43469,43574,36,141,8335,58845.1,980,14.5,6918.8,14210,400,2824,100322.6,41477.5
503,Chatal,Motri#211,Nazmul,22.13,"24ø32'29.7""",24,32,29.7,24.54158333,"91ø24'50.5""",91,27,50.5,91.46505556,35,43433,43470,43595,37,162,8685,61316.1,980,14.5,6918.8,14210,352,2485.12,100322.6,39006.5
504,Chatal,Motri#211,Nazmul,22.11,"24ø32'30.5""",24,32,30.5,24.54180556,"91ø24'54.2""",91,27,54.2,91.45930556,35,43435,43475,43575,40,140,9384,66251.04,910,15,6424.6,13650,320,2259.2,96369,30117.96
505,Chatal,Motri#211,Nazmul,22.5,"24ø31'45.5""",24,31,45.5,24.52930556,"91ø24'33.5""",91,27,33.5,91.45205556,35,43436,43478,43580,42,144,8840,62410.4,1050,14.37,7413,15088.5,400,2824,106524.81,44114.41
506,Chatal,Motri#211,Nazmul,22.6,"24ø32'35.5""",24,32,35.5,24.54319444,"91ø25'7.4""",91,25,7.4,91.43172222,35,43438,43476,43576,38,138,8010,56550.6,980,14,6918.8,13720,400,2824,96863.2,40312.6
507,Chatal,Motri#211,Nazmul,22.7,"24ø32'30.4""",24,32,30.4,24.54177778,"91ø24'54.2""",91,24,54.2,91.40222222,35,43438,43476,43581,38,143,8940,63116.4,910,15,6424.6,13650,400,2824,96369,33252.6
508,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.7,"24ø32'34.7""",24,32,34.7,24.54297222,"91ø25'8.0""",91,25,8,91.43119444,35,43437,43481,43577,44,140,8510,60080.6,840,14.5,5930.4,12180,700,4942,85990.8,25910.2
509,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.9,"24ø32'43.8""",24,32,43.8,24.5455,"91ø24'52.3""",91,24,52.3,91.41452778,35,43436,43479,43579,43,143,8895,62798.7,910,14.25,6424.6,12967.5,840,5930.4,91550.55,28751.85
510,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.1,"24ø32'43.8""",24,32,43.8,24.5455,"91ø24'52.3""",91,24,52.3,91.41147222,35,43437,43476,43577,39,140,8480,59868.8,980,14.75,6918.8,14455,770,5436.2,102052.3,42183.5
511,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.12,"24ø32'32.2""",24,32,32.2,24.54227778,"91ø32'41.3""",91,32,41.3,91.541,35,43441,43481,43584,40,143,8725,61598.5,840,14.25,5930.4,11970,1400,9884,84508.2,22909.7
512,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.14,"24ø32'37.2""",24,32,37.2,24.54366667,"91ø32'27.6""",91,32,27.6,91.53658333,23,43441,43484,43585,43,144,9205,98893.71739,910,14.5,9776.565217,13195,460,4942,141760.1957,42866.47826
513,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.15,"24ø31'7.2""",24,31,7.2,24.51866667,"91ø26'11.7""",91,26,11.7,91.44838889,35,43431,43467,43575,36,144,8945,63151.7,840,14.5,5930.4,12180,770,5436.2,85990.8,22839.1
514,Chatal,"ProschimJaoyat 
 Shonhati #208",Nazmul,23.16,"24ø31'45.5""",24,31,45.5,24.52930556,"91ø24'54.2""",91,24,54.2,91.41505556,35,43438,43481,43582,43,144,8395,59268.7,840,14.37,5930.4,12070.8,1050,7413,85219.848,25951.148
