sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
58,"Kishoreganj-64,65",LIVEHOOD-58,2017-01-26," 25,627.00 "," 198,639.00 ",APSS
59,Goat (Black Bengal) Supply-4,LIVEHOOD-59,2017-01-29," 19,200.00 "," 200,000.00 ",SIGS
60,Improvement Cooking -02,LIVEHOOD-60,2017-01-30," 19,000.00 "," 200,000.00 ",SIGS
61,"Kishoreganj-66,67",LIVEHOOD-61,2017-01-31," 25,627.00 "," 198,639.00 ",APSS
62,Supply of Solar -01,LIVEHOOD-62,2017-01-02," 18,941.00 "," 199,380.00 ",SIGS
63,"Kishoreganj-68,69",LIVEHOOD-63,2017-02-01," 25,618.00 "," 199,990.00 ",APSS
64,Goat (Black Bengal) Supply-5,LIVEHOOD-64,2017-05-02," 19,200.00 "," 200,000.00 ",SIGS
65,Supply of Solar -02,LIVEHOOD-65,2017-06-02," 18,941.00 "," 199,380.00 ",SIGS
66,"Kishoreganj-70,71",LIVEHOOD-66,2017-07-02," 25,620.00 "," 199,299.00 ",APSS
67,Goat (Black Bengal) Supply-6,LIVEHOOD-67,2017-08-02," 19,200.00 "," 200,000.00 ",SIGS
68,"Kishoreganj-72,73",LIVEHOOD-68,2017-09-02," 25,620.00 "," 199,300.00 ",APSS
69,Sewing Mahine & others-04,LIVEHOOD-69,2017-12-02," 32,671.00 "," 198,199.00 ",SIGS
70,"Habiganj-1, Paramadical Vatena-2",LIVEHOOD-70, 13-02-17," 18,003.00 "," 144,049.00 ",APSS
71,Sewing Mahine & others-04,LIVEHOOD-71,2017-02-14," 38,507.00 "," 197,469.00 ",SIGS
72,Kishoreganj-74-75,LIVEHOOD-72,2017-02-15," 25,627.00 "," 199,340.00 ",APSS
73,Kishoreganj-76-77,LIVEHOOD-73,2017-02-16," 25,620.00 "," 200,000.00 ",APSS
74,Goat (Black Bengal) Supply-7,LIVEHOOD-74,2017-02-19," 19,200.00 "," 200,000.00 ",SIGS
75,Supply of Solar -03,LIVEHOOD-75,2017-02-20," 38,356.00 "," 196,700.00 ",SIGS
76,Seeds & Fertilizer,LIVEHOOD-76,2017-02-22," 38,903.00 "," 199,500.00 ",APSS
77,Kishoreganj 78-79,LIVEHOOD-77,2017-02-23," 25,620.00 "," 199,999.00 ",APSS
78,Supply of Solar -04,LIVEHOOD-78,2017-02-26," 38,357.00 "," 196,699.00 ",SIGS
79,Supply of Solar -05,LIVEHOOD-79,2017-02-27," 38,357.00 "," 196,700.00 ",SIGS
80,Kishoreganj 80-81,LIVEHOOD-80,2017-02-28," 25,620.00 "," 199,300.00 ",APSS
81,Supply of Solar -06,LIVEHOOD-81,2017-01-03," 38,357.00 "," 196,699.00 ",SIGS
82,Kishoreganj 82-83,LIVEHOOD-82,2017-02-03," 25,620.00 "," 199,299.00 ",APSS
83,"Swing Mechin, Batch-2©",LIVEHOOD-83,2017-05-03," 26,794.00 "," 197,969.00 ",SIGS
84,Supply of Solar -07,LIVEHOOD-84,2017-06-03," 38,357.00 "," 196,699.00 ",SIGS
85,Kishoreganj-84-85,LIVEHOOD-85,2017-07-03," 25,620.00 "," 199,999.00 ",APSS
86,"Swing Mechin, Batch-2©, BRRI",LIVEHOOD-86,2017-07-03," 17,694.00 "," 179,279.00 ",SIGS
87,Supply of Goat,LIVEHOOD-87,2017-08-03," 19,200.00 "," 200,000.00 ",SIGS
88,Kishoreganj86-87,LIVEHOOD-88,2017-09-03," 25,620.00 "," 199,299.00 ",APSS
89,BIRD/Smmar Seeds & Duck Feed,LIVEHOOD-89,2017-03-13," 31,256.00 "," 195,769.00 ",APSS
90,Kishoreganj 88-89,LIVEHOOD-90,14-03-17," 25,620.00 "," 199,299.00 ",APSS
91,"Supply of Goat, Batch-9",LIVEHOOD-91,2017-03-15," 19,200.00 "," 200,000.00 ",SIGS
92,Kishoreganj 90-91,LIVEHOOD-92,2017-03-16," 25,620.00 "," 199,299.00 ",APSS
93,Fruits & Sepling,LIVEHOOD-93,2017-03-16," 35,980.00 "," 199,884.00 ",SIGS
94,(T Amon) BRRI,LIVEHOOD-94,20-03-17," 38,979.00 "," 199,889.00 ",APSS
95,Kishoreganj 92-93,LIVEHOOD-95,21-03-17," 25,580.00 "," 198,939.00 ",APSS
96,"Supply of Goat, Batch-10",LIVEHOOD-96,2017-03-22," 19,200.00 "," 200,000.00 ",SIGS
97,Kishoreganj 94-95,LIVEHOOD-97,2017-03-23," 25,580.00 "," 198,939.00 ",APSS
98,"Swing Mechin, Batch-3",LIVEHOOD-98,2017-03-27," 31,210.00 "," 196,379.00 ",SIGS
99,Kirshoreganj Farmers 96-97,LIVEHOOD-99,2017-03-28," 25,580.00 "," 199,639.00 ",APSS
100,"Supply of Goat, Batch-11",LIVEHOOD-100,2017-03-29," 19,200.00 "," 200,000.00 ",SIGS
101,Kirshoreganj Farmers 98-99,LIVEHOOD-101,2017-03-30," 25,580.00 "," 199,639.00 ",APSS
102,"Supply of Goat, Batch-12",LIVEHOOD-102,2017-04-02," 19,200.00 "," 200,000.00 ",SIGS
103,"Supply of Solar, Batch-8",LIVEHOOD-103,2017-04-03," 38,357.00 "," 196,699.00 ",SIGS
104,Kirshoreganj Farmers 100-101,LIVEHOOD-104,2017-04-04," 25,540.00 "," 199,279.00 ",APSS
105,"Swing Mechin & Insecticides, B-3",LIVEHOOD-105,2017-03-05," 27,546.00 "," 191,185.00 ",SIGS
106,Kirshoreganj Farmers 102-103,LIVEHOOD-106,2017-04-06," 25,540.00 "," 199,279.00 ",APSS
107,"Swing Mechin, Batch-3",LIVEHOOD-107,2017-04-09," 31,389.00 "," 196,859.00 ",SIGS
108,"Supply of Duck, Batch-9",LIVEHOOD-108,2017-04-10," 19,350.00 "," 200,000.00 ",SIGS
109,Kirshoreganj Farmers 104-105,LIVEHOOD-109,2017-04-11," 25,540.00 "," 198,579.00 ",APSS
