sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
231,"Homestate Vegetable Cultivision 
Batch-11&12 (Bill-7)",LIVELIHOOD-231,4/30/2018,21995,197140,SIGS
232,Farmers Training Programe specially for agricultural promotion (125-126) (CPT),LIVELIHOOD-232,4/30/2018,22195,198940,APSS
233,"Farmer Field School(FFS) establishment,-33",LIVELIHOOD-233,5/3/2018,19856,199960,APSS
234,Farmers Training Programe specially for agricultural promotion (127-128) (CPT),LIVELIHOOD-234,5/3/2018,22195,198940,APSS
235,Farmers Training Programe specially for agricultural promotion (129-130) (CPT),LIVELIHOOD-235,5/3/2018,22195,198940,APSS
236,Goat Rearing (Bill-29),LIVELIHOOD-236,5/3/2018,19200,200000,SIGS
237,"Farmer Field School(FFS) establishment,-35",LIVELIHOOD-237,5/6/2018,16488,199840,APSS
238,"Farmer Field School(FFS) establishment,-34",LIVELIHOOD-238,5/6/2018,15524,199849,APSS
239,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-1,LIVELIHOOD-239,5/6/2018,35920,199549,APSS
240,WMG member training for strenthening of WMG (Batch-41 & 42) ,LIVELIHOOD-240,5/6/2018,22456,197276,LT
241,WMG member training for strenthening of WMG (Batch-39 & 40) ,LIVELIHOOD-241,5/6/2018,22457,198675,LT
242,Goat Rearing (Bill-30),LIVELIHOOD-242,5/7/2018,19200,200000,SIGS
243,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-2,LIVELIHOOD-243,5/7/2018,33568,200000,APSS
244,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-3,LIVELIHOOD-244,5/8/2018,17657,199760,APSS
245,Farmers Training Programe specially for agricultural promotion (131-132) (CPT),LIVELIHOOD-245,5/8/2018,22195,198940,APSS
246,WMG member training for strenthening of WMG (Batch-43 & 44) ,LIVELIHOOD-246,5/9/2018,22457,199375,LT
247,WMG member training for strenthening of WMG (Batch-45 & 46) ,LIVELIHOOD-247,5/10/2018,22457,197975,LT
248,Farmers Training Programe specially for agricultural promotion (133-134) (CPT),LIVELIHOOD-248,5/10/2018,22195,198940,APSS
249,"Homestate Vegetable Cultivision 
Batch-13&14 (Bill-8)",LIVELIHOOD-249,5/10/2018,22190,198140,SIGS
250,"Training on Poultry and livestock rearing (Batch 15, 19)",LIVELIHOOD-250,5/10/2018,22035,197360,APSS
251,Training on Poultry and livestock rearing (Batch 16) & paramedical vetanary (Batch 2),LIVELIHOOD-251,5/10/2018,22064,197849,APSS
252,"Homestate Vegetable Cultivision 
Batch-15&16 (Bill-9)",LIVELIHOOD-252,5/13/2018,22190,198140,SIGS
253,Training on Poultry and livestock rearing (Batch 21-22),LIVELIHOOD-253,5/13/2018,22035,197360,APSS
254,Training on Poultry and livestock rearing (Batch 17-18),LIVELIHOOD-254,5/13/2018,22035,197360,APSS
255,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-4,LIVELIHOOD-255,5/13/2018,21608,199820,APSS
256,Goat Rearing (Bill-31),LIVELIHOOD-256,5/14/2018,19200,200000,SIGS
257,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-5,LIVELIHOOD-257,5/14/2018,22154,199879,APSS
258,"Training on Poultry and livestock rearing (Batch 22, 23)",LIVELIHOOD-258,5/15/2018,22035,197360,APSS
259,"Homestate Vegetable Cultivision 
Batch-17 & 21 ",LIVELIHOOD-259,5/15/2018,22190,198140,SIGS
260,Farmers Training Programe specially for agricultural promotion (135-136) (CPT),LIVELIHOOD-260,5/15/2018,22195,198940,APSS
261,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-6,LIVELIHOOD-261,5/16/2018,20622,199820,APSS
262,Goat Rearing (Bill-32),LIVELIHOOD-262,5/16/2018,19200,200000,SIGS
263,"Training on Poultry and livestock rearing (Batch 24, 25)",LIVELIHOOD-263,5/16/2018,22035,197360,APSS
264,"Homestate Vegetable Cultivision 
Batch-19 & 20",LIVELIHOOD-264,5/17/2018,22190,198140,SIGS
265,"Homestate Vegetable Cultivision 
Batch-18 & 22",LIVELIHOOD-265,5/17/2018,21995,197140,SIGS
265,"Training on Poultry and livestock rearing (Batch 26, 27)",LIVELIHOOD-265,5/17/2018,22035,197360,APSS
266,"Training on Poultry and livestock rearing (Batch 28, 29)",LIVELIHOOD-266,5/17/2018,22035,197360,APSS
267,Farmers Training Programe specially for agricultural promotion (137-138) (CPT),LIVELIHOOD-267,5/17/2018,22195,198940,APSS
268,WMG member training for strenthening of WMG (Batch-47 & 48) ,LIVELIHOOD-268,5/20/2018,22457,198675,LT
269,WMG member training for strenthening of WMG (Batch-49 & 450) ,LIVELIHOOD-269,5/20/2018,22457,195875,LT
270,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-7,LIVELIHOOD-270,5/20/2018,18985,199970,APSS
271,Nursery Management (01-02),LIVELIHOOD-271,5/20/2018,24943,195769,APSS
272,"Homestate Vegetable Cultivision 
Batch-23 & 24",LIVELIHOOD-272,5/20/2018,22190,198140,SIGS
273,Goat Rearing (Bill-33),LIVELIHOOD-273,5/20/2018,19200,200000,SIGS
274,Goat Rearing (Bill-34),LIVELIHOOD-274,5/21/2018,19200,200000,SIGS
275,"Training on Poultry and livestock rearing (Batch 30, 32)",LIVELIHOOD-275,5/22/2018,22035,197360,APSS
276,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 5 & 6) Bill-8,LIVELIHOOD-276,5/22/2018,20168,199919,APSS
277,Farmers Training Programe specially for agricultural promotion (139-140) (CPT),LIVELIHOOD-277,5/22/2018,22195,198940,APSS
278,Goat Rearing (Bill-35),LIVELIHOOD-278,5/23/2018,19200,200000,SIGS
279,WMG 51-52,LIVELIHOOD-279,5/22/2018,22457,199375,LT
280,Homestead (25-26),LIVELIHOOD-280,5/24/2018,22093,197640,APSS
281,ToT for IFM(FFS)-09,LIVELIHOOD-281,5/24/2018,23666,199929,APSS
282,Farmers Training Programe specially for agricultural promotion (141-142) (CPT),LIVELIHOOD-282,5/24/2018,22195,198940,APSS
283,Livestock Batch-31-33 (Paramedical & Vatinary),LIVELIHOOD-283,5/24/2018,22035,197360,APSS
284,Goat Rearing (Bill-36),LIVELIHOOD-284,5/27/2018,19200,200000,SIGS
285,WMG member training for strenthening of WMG (Batch-53 & 54) ,LIVELIHOOD-285,5/27/2018,22457,197275,LT
286,WMG member training for strenthening of WMG (Batch-55 & 56) ,LIVELIHOOD-286,5/27/2018,22457,195875,LT
287,Homestead (27-28),LIVELIHOOD-287,5/27/2018,22093,197640,APSS
288,Goat Rearing (Bill-37),LIVELIHOOD-288,5/28/2018,19200,200000,SIGS
289,Farmers Training Programe specially for agricultural promotion (143-144) (CPT),LIVELIHOOD-289,5/29/2018,22195,198940,APSS
290,WMG member training for strenthening of WMG (Batch-57 & 58) ,LIVELIHOOD-290,5/29/2018,22457,197275,LT
291,"Basic Tailoring (Bill-8, Part-B)",LIVELIHOOD-291,5/30/2018,17991,195940,SIGS
292,"Basic Tailoring (Bill-8, Part-A)",LIVELIHOOD-292,5/30/2018,24033,198230,SIGS
293,"Basic Tailoring (Bill-8, Part-C)",LIVELIHOOD-293,5/30/2018,9131,182960,SIGS
294,Farmers Training Programe specially for agricultural promotion (145-146) (CPT),LIVELIHOOD-294,5/31/2018,22195,198940,APSS
295,Livestock Batch-37-38 (Paramedical & Veterinary),LIVELIHOOD-295,5/31/2018,22035,197360,APSS
296,Livestock Batch-35-36 (Paramedical & Veterinary),LIVELIHOOD-296,5/31/2018,22035,197360,APSS
297,Homestead (29-30),LIVELIHOOD-297,6/3/2018,21995,197140,APSS
298,WMG member training for strenthening of WMG (Batch-61 & 62) ,LIVELIHOOD-298,6/3/2018,22457,195175,APSS
299,WMG member training for strenthening of WMG (Batch-59 & 60) ,LIVELIHOOD-299,6/3/2018,22457,199375,APSS
300,Livestock Batch-35 (Paramedical & Vet-03),LIVELIHOOD-300,6/3/2018,22035,197360,APSS
301,Goat Rearing (Bill-38),LIVELIHOOD-301,6/4/2018,19200,200000,SIGS
302,WMG member training for strenthening of WMG (Batch-63 & 64) ,LIVELIHOOD-302,6/5/2018,22457,198675,LT
303,Farmers Training Programe specially for agricultural promotion (147-148) (CPT),LIVELIHOOD-303,6/5/2018,22195,198940,APSS
304,Goat Rearing (Bill-39),LIVELIHOOD-304,6/6/2018,19200,200000,SIGS
305,"Basic Tailoring (Bill-9, Part-C)",LIVELIHOOD-305,6/7/2018,9131,182959,SIGS
306,"Basic Tailoring (Bill-9, Part-B)",LIVELIHOOD-306,6/7/2018,17991,195940,SIGS
307,"Basic Tailoring (Bill-9, Part-A)",LIVELIHOOD-307,6/7/2018,24033,198230,SIGS
308,Farmers Training Programe specially for agricultural promotion (149-150) (CPT),LIVELIHOOD-308,6/7/2018,22195,198940,APSS
309,WMG member training for strenthening of WMG (Batch-65 & 66) ,LIVELIHOOD-309,6/10/2018,22457,195875,LT
310,WMG member training for strenthening of WMG (Batch-67 & 68) ,LIVELIHOOD-310,6/10/2018,22457,197275,LT
311,WMG member training for strenthening of WMG (Batch-69 & 70) ,LIVELIHOOD-311,6/10/2018,22457,198675,LT
312,Farmers Training Programe specially for agricultural promotion (151-152) (CPT),LIVELIHOOD-312,6/10/2018,22195,198940,APSS
313,Farmers Training Programe specially for agricultural promotion (153-154) (CPT),LIVELIHOOD-313,6/10/2018,22195,198940,APSS
314,"Farmers Training Programe specially for agricultural promotion (155, Speed-1) (CPT)",LIVELIHOOD-314,6/12/2018,15994,160670,APSS
315,Field Staff Training Coordinator and XO,LIVELIHOOD-315,6/24/2018,22911,195946,APSS
316,Adaptive Trial + Straining Coordinator & XO,LIVELIHOOD-316,6/24/2018,21052,191460,APSS
317,Resource extension farmer dialog (BRRI),LIVELIHOOD-317,6/26/2018,7558,74530,APSS
318,Farmer Field Visit Program (BARD),LIVELIHOOD-318,6/26/2018,21859,183435,APSS
319,Hijol Tree & BRRI,LIVELIHOOD-319,6/27/2018,15008,184530,APSS
320,BARD Visit-2,LIVELIHOOD-320,6/28/2018,19914,162586,APSS
321,South-West Project Visit-1,LIVELIHOOD-321,6/28/2018,21975,198485,APSS
322,South-West Project Visit-2,LIVELIHOOD-322,6/28/2018,21975,198485,APSS
323,"Farmer Field Visit (BRRI, Gazipur)",LIVELIHOOD-323,6/28/2018,16700,173960,APSS
324,Farmers Training Programe specially for agricultural promotion (156-157) (CPT),LIVELIHOOD-324,6/28/2018,19155,160940,APSS
325,Aman-01,LIVELIHOOD-325,6/28/2018,19353,199499,APSS
326,Farmers Training Programe specially for agricultural promotion (158-159) (CPT),LIVELIHOOD-326,6/28/2018,25695,195140,APSS
327,BRRI (05-06),LIVELIHOOD-327,6/28/2018,16740,174320,APSS
328,Aman-02,LIVELIHOOD-328,6/28/2018,19316,199850,APSS
329,Aman-04,LIVELIHOOD-329,6/30/2018,9500,100000,APSS
330,Farmers Training Programe specially for agricultural promotion (160-161) (CPT),LIVELIHOOD-330,6/30/2018,19155,160940,APSS
331,Farmers Training Programe specially for agricultural promotion (161-162) (CPT),LIVELIHOOD-331,6/30/2018,19155,160940,APSS
332,Farmers Training Programe specially for agricultural promotion (164-165) (CPT),LIVELIHOOD-332,6/30/2018,19155,160940,APSS
333,Aman-03 (Adjust Bill),LIVELIHOOD-333,6/30/2018,19959,200000,APSS
334,Bag-LT,LIVELIHOOD-334,6/30/2018,-74594,1256667,LT
335,Bag-APSS,LIVELIHOOD-335,6/30/2018,-2006742,7939479,APSS
336,Bag-Sigs,LIVELIHOOD-336,6/30/2018,-482416,3246402,SIGS
