sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
58,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School-08),LIVELIHOOD-58,11/8/2017,23171,196920,APSS
59,"Seed (Potato, Maise, Mustered) Batch-2",LIVELIHOOD-59,11/8/2017,35990,199944,APSS
60,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School-09,LIVELIHOOD-60,11/9/2017,23818,158640,APSS
61,Farmers Training Programe specially for agricultural promotion (41-42),LIVELIHOOD-61,11/9/2017,23115,199140,APSS
62,Poultry and Livestock Rearing -  Batch 02-03,LIVELIHOOD-62,11/9/2017,25581,197120,APSS
63,"Swing Machine, Training & Support service scheme Batch-3 Part- A",LIVELIHOOD-63,11/12/2017,25852,195960,SIGS
64,"Swing Machine, Training & Support service scheme Batch-3 Part- B",LIVELIHOOD-64,11/13/2017,15893,180929,SIGS
65,"Swing Machine, Training & Support service scheme Batch-3 Part- C",LIVELIHOOD-65,11/13/2017,15863,197060,SIGS
66,Fertilizer for Non Rice(Potato) Batch-1,LIVELIHOOD-66,11/14/2017,19111,199588,APSS
67,Farmers Training Programe specially for agricultural promotion (43-44),LIVELIHOOD-67,11/14/2017,23095,198960,APSS
68,Farmers Training Programe specially for agricultural promotion (45-46),LIVELIHOOD-68,11/16/2017,23095,198960,APSS
69,"Homestate Vegetable Cultivision 
Batch-01",LIVELIHOOD-69,11/19/2017,22895,197160,SIGS
70,"Swing Machine, Training & Support service scheme ,Batch-4,Part-A",LIVELIHOOD-70,11/21/2017,23595,197989,SIGS
71,"Fertilizer for Non Rice(Potato,Maize) Batch-2",LIVELIHOOD-71,11/21/2017,19177,199760,APSS
72,"Swing Machine, Training & Support service scheme ,Batch-4,Part-B",LIVELIHOOD-72,11/22/2017,11990,189020,SIGS
73,"Swing Machine, Training & Support service scheme ,Batch-4,Part-C",LIVELIHOOD-73,11/23/2017,18416,192369,SIGS
74,"Farmer Field School(FFS) establishment, Batch-1",LIVELIHOOD-74,11/26/2017,17182,196649,APSS
75,"Farmer Field School(FFS) establishment,, Batch-2",LIVELIHOOD-75,11/26/2017,17182,196649,APSS
76,"Farmer Field School(FFS) establishment, Batch-3",LIVELIHOOD-76,11/28/2017,17182,196649,APSS
77,"Farmer Field School(FFS) establishment,, Batch-4",LIVELIHOOD-77,11/28/2017,17182,196649,APSS
78,"Farmer Field School(FFS) establishment, Batch-5",LIVELIHOOD-78,11/28/2017,17182,196649,APSS
79,"Fertilizer & Seed for Non Rice(Potato,Maize) Batch-3",LIVELIHOOD-79,11/30/2017,35996,199980,APSS
80,Goats Rearing Bill no-06,LIVELIHOOD-80,12/3/2017,19200,200000,SIGS
81,Farmers Training Programe specially for agricultural promotion (47-48),LIVELIHOOD-81,12/6/2017,23095,198260,APSS
82,"Farmer Field School(FFS) establishment, Batch-6",LIVELIHOOD-82,12/6/2017,10207,196850,APSS
83,Farmers Training Programe specially for agricultural promotion (49-50),LIVELIHOOD-83,12/10/2017,23095,198960,APSS
84,"Farmer Field School(FFS) establishment, Batch-7",LIVELIHOOD-84,12/10/2017,7540,196749,APSS
85,"Boro Fertilizer, Batch-01",LIVELIHOOD-85,12/11/2017,19175,199729,APSS
86,Farmers Training Programe specially for agricultural promotion (51-52),LIVELIHOOD-86,12/12/2017,23095,197560,APSS
87,Farmers Training Programe specially for agricultural promotion (53-54),LIVELIHOOD-87,12/14/2017,23095,198260,APSS
86,"Boro Ferilizer ,Batch- 02",LIVELIHOOD-86,12/17/2017,19175,199729,APSS
87,"Boro Ferilizer ,Batch- 03",LIVELIHOOD-87,12/18/2017,19175,199729,APSS
88,"Boro Ferilizer ,Batch- 04",LIVELIHOOD-88,12/19/2017,19175,199729,APSS
89,"Farmer Field School(FFS) establishment, Batch-8",LIVELIHOOD-89,12/20/2017,14102,196500,APSS
89,"Boro Ferilizer ,Batch- 05",LIVELIHOOD-89,12/21/2017,19175,199729,APSS
90,"Farmer Field School(FFS) establishment, Batch-9",LIVELIHOOD-90,12/24/2017,14102,196500,APSS
